알콜도수,당도,산도_ph,종류
9.5,1.8,3.19,레드와인
9.8,2.2,3.15,레드와인
9.8,2.2,3.15,레드와인
9.7,2.3,3.32,레드와인
9.5,1.8,3.19,레드와인
10.5,2.2,3.07,레드와인
10,1.9,3.39,레드와인
9.4,2,3.37,레드와인
10.9,2.2,3.21,레드와인
9.2,1.8,3.34,레드와인
9,1.7,3.3,레드와인
10.9,2.2,3.21,레드와인
9.2,2.5,3.49,레드와인
9.5,2.6,3.44,레드와인
9.5,1.6,3.39,레드와인
9.4,1.9,3.16,레드와인
10.9,1.7,3.53,레드와인
10.9,1.8,3.54,레드와인
10.5,1.8,3.42,레드와인
9.4,1.8,3.42,레드와인
9.4,2,3.24,레드와인
13,2.3,3.63,레드와인
13,2.3,3.63,레드와인
9.8,1.5,3.4,레드와인
9.9,2.2,3.22,레드와인
9.6,1.9,3.19,레드와인
9.5,1.8,3.23,레드와인
9.2,2,3.48,레드와인
9.5,2.1,3.33,레드와인
9.5,2,3.32,레드와인
9.6,1.9,3.19,레드와인
9.5,1.8,3.23,레드와인
14,1.8,3.68,레드와인
9.4,1.7,3.34,레드와인
14,1.8,3.68,레드와인
9.4,1.8,3.17,레드와인
10,1.8,3.54,레드와인
9.3,1.6,3.11,레드와인
10.2,2.3,3.42,레드와인
10.5,2.8,3.53,레드와인
10.3,2.1,3.33,레드와인
9.4,3.4,2.74,레드와인
10.1,1.8,3.35,레드와인
10.1,1.8,3.35,레드와인
10.5,5.5,3.42,레드와인
10.5,5.5,3.42,레드와인
10.5,5.5,3.42,레드와인
10.5,5.5,3.42,레드와인
9.3,2.2,3.48,레드와인
9.3,1.9,3.59,레드와인
9.6,2,3.2,레드와인
9.2,1.3,3.17,레드와인
10,1.7,3.33,레드와인
9.4,7.3,3.37,레드와인
9.4,7.2,3.37,레드와인
9.5,1.7,3.19,레드와인
10.2,2.1,3.34,레드와인
9,1.6,3.37,레드와인
10.4,2.1,3.47,레드와인
9.5,1.8,3,레드와인
9.1,1.8,3.36,레드와인
9.2,2,3.29,레드와인
9.2,2,3.29,레드와인
11.5,1.9,3.42,레드와인
9.5,2,3.33,레드와인
9.5,1.5,3.35,레드와인
9.5,2,3.33,레드와인
10.5,2.3,3.58,레드와인
9.6,2.5,3.48,레드와인
9.5,2.4,3.19,레드와인
9.5,2.4,3.19,레드와인
9.3,2,3.12,레드와인
9.3,2.5,3.44,레드와인
9.3,1.8,3.54,레드와인
9.3,1.9,3.52,레드와인
9.7,2,3.26,레드와인
9.2,2,3.34,레드와인
9.7,2.6,3.39,레드와인
9.5,2,3.2,레드와인
9.5,1.9,3.2,레드와인
9.4,2.9,3.23,레드와인
9.8,1.9,3.57,레드와인
9.5,3.8,3.28,레드와인
9.7,2.2,3.28,레드와인
9.7,2.2,3.28,레드와인
9.4,2,3.25,레드와인
10.2,2.4,3.46,레드와인
10.1,2,3.11,레드와인
13,1.2,3.57,레드와인
11.4,2.1,3.51,레드와인
10.3,1.4,3.22,레드와인
9.3,2.1,3.04,레드와인
9.5,1.5,3.36,레드와인
9.2,1.6,3.34,레드와인
9.2,1.6,3.34,레드와인
10.8,2.6,3.2,레드와인
10.8,2.6,3.2,레드와인
9.3,1.8,3.29,레드와인
9.4,2.7,3.22,레드와인
10.5,2.1,3.31,레드와인
12.4,2,3.3,레드와인
10,2.8,3.35,레드와인
10.2,2.1,3.21,레드와인
10.1,2.2,3.3,레드와인
9.8,2.4,3.24,레드와인
10.5,5.6,3.34,레드와인
11,2,3.14,레드와인
9.1,2.2,3.36,레드와인
9.7,1.9,3.39,레드와인
9.5,2.4,3.3,레드와인
9.4,2,3.34,레드와인
9.4,2,3.15,레드와인
9.5,1.5,3.42,레드와인
10,2,3.28,레드와인
10.4,2,3.31,레드와인
10.5,2.6,3.37,레드와인
9.5,2,3.04,레드와인
9.8,2.6,3.39,레드와인
10.5,2.6,3.37,레드와인
11,2.6,3.46,레드와인
12.2,1.6,3.54,레드와인
9.9,1.8,3.37,레드와인
9.6,2.8,3.34,레드와인
11,2.6,3.46,레드와인
9,2.3,3.32,레드와인
9,1.9,3.37,레드와인
9,1.9,3.37,레드와인
9.2,1.9,3.37,레드와인
9,1.9,3.37,레드와인
9,2.3,3.32,레드와인
9.3,1.7,3,레드와인
10.9,2.1,3.14,레드와인
9.8,1.8,3.08,레드와인
9.2,2.2,3.07,레드와인
9.2,2.2,3.07,레드와인
9.9,2,3.61,레드와인
9.5,1.9,3.38,레드와인
9.3,2.3,3.2,레드와인
9.8,1.7,3.35,레드와인
9.9,2,3.61,레드와인
10,1.6,3.22,레드와인
9.9,1.8,3.47,레드와인
10.5,3.1,3.17,레드와인
9.5,1.9,3.23,레드와인
9.9,1.8,3.47,레드와인
9.3,3.2,3.26,레드와인
9.2,2.2,3.22,레드와인
9.2,2.1,3.49,레드와인
9.4,1.8,3.06,레드와인
10.5,2.6,3.36,레드와인
9.3,1.7,3.29,레드와인
9.4,2,3.35,레드와인
10,1.7,3.34,레드와인
9.3,1.8,3.28,레드와인
10.9,2.4,3.08,레드와인
10.2,1.8,3.2,레드와인
9.8,3.3,3.6,레드와인
12.8,3.6,3.35,레드와인
9.4,3,3.69,레드와인
10.1,4,3.28,레드와인
10.7,4,3.36,레드와인
10.1,4,3.28,레드와인
10.1,4,3.22,레드와인
9.4,2.4,3.31,레드와인
9.4,7,3.38,레드와인
10.7,4,3.36,레드와인
9.4,3,3.69,레드와인
10.1,4,3.28,레드와인
12.6,6.4,3.23,레드와인
10.5,5.6,3.38,레드와인
9.3,3.6,3.12,레드와인
9.9,3.5,3.25,레드와인
9.1,3,3.36,레드와인
10.5,5.6,3.38,레드와인
9.8,3.4,3.31,레드와인
9.8,3.4,3.31,레드와인
10.3,2,3.1,레드와인
10.3,3,3.37,레드와인
10.6,2.5,3.34,레드와인
9.2,3.3,3.2,레드와인
10.6,2.5,3.34,레드와인
10.5,2,3.3,레드와인
10.3,2.7,3.22,레드와인
10.1,2.4,3.41,레드와인
9.5,3.2,3.05,레드와인
9.5,2.5,3.05,레드와인
9.9,2.6,3.16,레드와인
9.6,2,3.67,레드와인
9.7,2.3,3.67,레드와인
9.6,2.1,3.68,레드와인
10.7,2.6,3.38,레드와인
10.1,1.5,3.22,레드와인
10,2.6,3.51,레드와인
9.5,1.6,3.39,레드와인
9.2,2.1,3.2,레드와인
9.3,2.5,3.12,레드와인
9.4,2.2,3.36,레드와인
9.5,2.4,3.19,레드와인
9.5,2.4,3.19,레드와인
9.5,1.7,3.41,레드와인
9.3,2.5,3.12,레드와인
9.4,2,3.27,레드와인
9.5,2.8,3.32,레드와인
9.4,3,3.3,레드와인
11,2.6,3.39,레드와인
11,2.5,3.42,레드와인
10.1,3.4,3.3,레드와인
10.4,2.9,3.3,레드와인
11.5,3.2,3.37,레드와인
10.4,2.9,3.3,레드와인
11.5,3.2,3.37,레드와인
9.7,3.4,3.24,레드와인
9.3,2.3,3.29,레드와인
9.5,2.8,3.28,레드와인
9.2,11,3.16,레드와인
9.2,11,3.16,레드와인
11.5,3.65,3.05,레드와인
11.5,4.5,3.28,레드와인
9.7,2.6,3.16,레드와인
9.5,2,3.18,레드와인
12.5,2.9,3.23,레드와인
12.5,2.9,3.23,레드와인
9.4,3.2,3.22,레드와인
11,2.1,3.13,레드와인
11.7,2.5,3.34,레드와인
12.2,3.4,3.17,레드와인
12.5,1.9,3.35,레드와인
10.3,2.8,3.31,레드와인
11.5,3,3.16,레드와인
9.8,2.3,3.11,레드와인
9.2,2.4,3.12,레드와인
11.3,2.7,3.21,레드와인
9.8,1.8,3.3,레드와인
9.8,1.8,3.3,레드와인
10.7,2.6,3.12,레드와인
9.9,1.9,3.6,레드와인
12.3,2.7,3.58,레드와인
12,3,3.02,레드와인
10,2.8,3.11,레드와인
9.4,2.6,3.36,레드와인
9.9,2.7,3.28,레드와인
9.4,2.6,3.35,레드와인
9.3,2.4,3.27,레드와인
13,4.8,3.18,레드와인
11.9,1.4,3.25,레드와인
12.8,2.4,3.55,레드와인
11,3,3.26,레드와인
11.7,2.95,3.24,레드와인
10.4,3.1,3.15,레드와인
9.8,2.6,3.17,레드와인
9.4,2,3.19,레드와인
9.9,2.6,3.37,레드와인
10,2.5,3.05,레드와인
10.2,2,2.99,레드와인
10,5.8,3.07,레드와인
11.8,3.4,3.26,레드와인
10,5.8,3.07,레드와인
9,2.6,3.16,레드와인
9.4,2.8,3.18,레드와인
12,2.4,3.2,레드와인
9.9,2.3,3.57,레드와인
8.7,1.6,3.32,레드와인
10.6,1.8,3.32,레드와인
9.2,2.2,3.05,레드와인
10.8,3.8,3.01,레드와인
11.8,4.4,3.01,레드와인
11,3,3.26,레드와인
12,2.4,3.2,레드와인
13.3,6.2,3.11,레드와인
10.8,2.5,3.31,레드와인
9.4,2,3.21,레드와인
10,2.9,3.06,레드와인
9.4,2,3.21,레드와인
9.4,2,3.21,레드와인
9.2,2.1,3.42,레드와인
9.7,2.4,3.43,레드와인
9.2,2,3.41,레드와인
9.6,1.9,3.31,레드와인
9.2,1.9,3.43,레드와인
10,2.5,3.19,레드와인
12.9,1.4,3.56,레드와인
10,2.9,3.06,레드와인
9.5,2,3.18,레드와인
9.1,2,3.16,레드와인
9.9,2.3,3.03,레드와인
13,4.2,3.22,레드와인
9.9,7.9,3.47,레드와인
11,2.6,3.18,레드와인
11,2.6,3.18,레드와인
9.4,2.3,3.1,레드와인
9.9,7.9,3.47,레드와인
10.8,1.7,3.29,레드와인
10.5,2.6,3.1,레드와인
10.5,2.7,3.15,레드와인
9.1,2.7,3.26,레드와인
10.1,1.4,3.36,레드와인
10.8,2.5,3.24,레드와인
10.8,3,3.18,레드와인
11.3,3.7,3.19,레드와인
9.6,4.5,3.05,레드와인
9.5,2.5,3.38,레드와인
9.5,2.4,3.38,레드와인
9.3,1.9,3.27,레드와인
11.7,6.7,3.27,레드와인
9.5,2.7,3.26,레드와인
9.3,6.6,3.32,레드와인
11.7,2.2,3.26,레드와인
10.5,1.9,3.44,레드와인
10.4,2,3.24,레드와인
9.9,1.8,3.62,레드와인
11.8,2.4,3.28,레드와인
12.3,2.3,3.52,레드와인
10.9,2,3.36,레드와인
11,2.1,3.15,레드와인
10.9,2,3.36,레드와인
12.3,2.3,3.52,레드와인
11.4,2.1,3.49,레드와인
10.6,1.9,3.26,레드와인
9.3,1.3,3.24,레드와인
10.4,2.4,3.1,레드와인
11,2.1,3.15,레드와인
9.2,2.2,3.25,레드와인
12.8,2.3,3,레드와인
9.5,2.3,3.16,레드와인
9.9,3.2,3.15,레드와인
9.5,2.3,3.16,레드와인
10.2,2,3.26,레드와인
11.2,3.2,3.17,레드와인
9.9,3.2,3.15,레드와인
9.3,1.5,3.08,레드와인
9.8,2.2,2.88,레드와인
11.3,2.15,3.06,레드와인
11.2,3.7,2.95,레드와인
11.6,2.7,3.23,레드와인
12.5,1.7,3.57,레드와인
10.1,2.1,3.23,레드와인
10.5,2.6,3.1,레드와인
11.2,2.1,3.22,레드와인
10.2,2,3.2,레드와인
10.8,2.8,3.1,레드와인
10.8,2.8,3.1,레드와인
9.1,1.8,3.06,레드와인
10,1.7,3.44,레드와인
11.2,2.8,3.26,레드와인
11.1,1.6,3.5,레드와인
13.4,5.2,3.22,레드와인
10.3,2.3,3.37,레드와인
9.6,2.7,3.28,레드와인
11.2,2.8,3.26,레드와인
9,2.2,3.25,레드와인
11.3,2.3,3.35,레드와인
9.3,2.6,3.26,레드와인
11.8,2.55,3.18,레드와인
9,2.2,3.08,레드와인
9.2,2.1,2.98,레드와인
9.7,2.9,3.48,레드와인
11.5,2,3.16,레드와인
14,2.6,3.32,레드와인
9.2,2.1,3.17,레드와인
9.8,1.2,3.2,레드와인
10.6,2.6,3.05,레드와인
11.4,2.4,3.2,레드와인
10.4,2.6,3.15,레드와인
10.6,2.1,3.26,레드와인
9.4,1.7,3.2,레드와인
10.2,2.2,3.14,레드와인
9.7,2,3.28,레드와인
11,1.8,3.18,레드와인
10.2,2.2,3.14,레드와인
10.1,2.7,3.19,레드와인
9.2,15.5,3.12,레드와인
11.7,2.8,3.15,레드와인
9.4,2.2,3.04,레드와인
9.4,2.2,3.04,레드와인
13.4,4.1,3.06,레드와인
10,1.9,3.17,레드와인
10,1.9,3.17,레드와인
10,1.8,3.17,레드와인
10.8,2.8,3.32,레드와인
10.2,2.6,3.34,레드와인
10.6,2.8,3.31,레드와인
13.3,2.5,3.34,레드와인
13.4,2.6,3.32,레드와인
11.6,3,3.48,레드와인
12.1,8.3,3.44,레드와인
11,2.6,3.15,레드와인
9,1.9,3.43,레드와인
11.1,2.5,3.32,레드와인
11,2.6,3.15,레드와인
11.6,3,3.48,레드와인
9,1.9,3.43,레드와인
12,6.55,3.17,레드와인
12,6.55,3.17,레드와인
10.9,1.9,3.18,레드와인
10.8,1.8,3.21,레드와인
12.5,2.9,3.16,레드와인
10.8,1.8,3.25,레드와인
9.5,2.3,3.17,레드와인
10.2,2.2,3.18,레드와인
11.4,2.8,3.04,레드와인
9.5,4.6,3.02,레드와인
10.2,2.2,3.18,레드와인
9.7,2.1,3.03,레드와인
11.8,2.4,3.09,레드와인
11.8,2.4,3.09,레드와인
9.3,6.1,3.31,레드와인
11.9,4.3,3.25,레드와인
8.4,2.1,3.16,레드와인
11.7,2.8,3.22,레드와인
11,2.5,3.36,레드와인
10,2.7,3.42,레드와인
9.1,2,3.48,레드와인
9.8,2.3,3.38,레드와인
9.4,2.5,3.22,레드와인
9.5,2.4,3.23,레드와인
9.9,2.8,3.24,레드와인
11,2.5,3.36,레드와인
11.4,2.5,3.39,레드와인
8.7,2.6,3.34,레드와인
9.4,2.4,3.09,레드와인
10.3,2.1,3.41,레드와인
10.3,2.7,3.16,레드와인
10.3,2.7,3.16,레드와인
12.8,2.1,3.22,레드와인
10,2.7,3.28,레드와인
10.3,2.1,3.41,레드와인
9.4,2.4,3.09,레드와인
10.7,2.1,3.37,레드와인
12,5.8,3.2,레드와인
11.2,5.15,3.22,레드와인
9.6,3.3,3.26,레드와인
11,6.3,3.21,레드와인
9.9,2.1,3.12,레드와인
11,2.5,3.06,레드와인
8.4,1.8,2.86,레드와인
9.1,2.6,3.08,레드와인
9.5,2,3.45,레드와인
10.7,2.5,3.26,레드와인
10.4,2.6,3.12,레드와인
9.4,1.9,3.27,레드와인
9.5,2.1,3.33,레드와인
10,2.8,3.19,레드와인
10,2.7,3.12,레드와인
11.5,1.6,3.74,레드와인
11.1,4.2,2.92,레드와인
11.1,4.2,2.92,레드와인
11.7,4.6,3.07,레드와인
11.1,4.2,2.92,레드와인
11.7,4.6,3.07,레드와인
12.7,4.3,3.3,레드와인
11.4,2.8,3.14,레드와인
9.2,2.4,3.23,레드와인
9.2,2.9,3.08,레드와인
10.1,2.7,3.31,레드와인
12.7,4.3,3.3,레드와인
11.4,2.8,3.14,레드와인
9,2.5,3.32,레드와인
9,2.5,3.32,레드와인
10.7,2.6,3.31,레드와인
11.7,2.2,3.57,레드와인
11,3.3,3.32,레드와인
11.7,2.2,3.57,레드와인
10.4,2.4,3.14,레드와인
9.6,2.1,3.3,레드와인
10,3.2,3.19,레드와인
10.2,3.1,3.2,레드와인
10,2.3,3.34,레드와인
9.5,2.8,3.3,레드와인
9.8,2.9,3.29,레드와인
9.8,2.2,3.14,레드와인
9.6,2.2,3.19,레드와인
9.6,2.2,3.19,레드와인
9.2,2.2,3.19,레드와인
9.9,1.9,2.98,레드와인
10.7,3.4,3.3,레드와인
9.6,2.4,3.47,레드와인
10.6,2.7,3.12,레드와인
9.3,1.9,3.26,레드와인
14,2,3.72,레드와인
10.5,2.6,3.05,레드와인
9.7,2.6,3.35,레드와인
11.5,1.7,3.12,레드와인
9.7,2.6,3.35,레드와인
9,3.5,3.29,레드와인
9.5,2.6,3.4,레드와인
9.3,7.9,3.27,레드와인
9.3,2,3.04,레드와인
10,1.9,3.09,레드와인
9.8,2.1,3.2,레드와인
9.3,2.3,3,레드와인
10,2.1,3.26,레드와인
9,2.2,3.1,레드와인
9.3,2.6,3.3,레드와인
9,2.2,3.1,레드와인
9.1,2.9,3.17,레드와인
9.2,2.6,3.31,레드와인
12.2,4.6,3.34,레드와인
10.5,3.3,3.31,레드와인
10.4,5.1,3.32,레드와인
12.7,3.2,3.56,레드와인
9.2,2.5,3.39,레드와인
9.4,2.7,2.98,레드와인
10,2.4,3.32,레드와인
9.8,1.5,3.26,레드와인
10.2,2.2,2.87,레드와인
9.7,2.3,3.5,레드와인
9.7,2.3,3.5,레드와인
9.8,2.2,3.03,레드와인
10.2,2.7,3.13,레드와인
9.3,2.3,3.09,레드와인
9.4,3.4,3.27,레드와인
9.4,3.4,3.28,레드와인
9.5,1.9,3.13,레드와인
12.1,2.9,3.49,레드와인
10.2,5.6,3.46,레드와인
10.2,5.6,3.46,레드와인
9.1,2.2,3.36,레드와인
9.1,2.2,3.36,레드와인
9.3,2.5,3.27,레드와인
9.3,2.3,3.21,레드와인
9.3,2.5,3.27,레드와인
9.5,2.7,3.25,레드와인
10.5,3,3.32,레드와인
11.3,3.4,3.43,레드와인
9.5,1.9,3.27,레드와인
9.7,1.4,3.27,레드와인
9.4,2.4,3.24,레드와인
9.4,2.3,3.24,레드와인
10.2,2.2,3.35,레드와인
10.3,1.9,3.18,레드와인
9.4,2.3,3.39,레드와인
9.5,2.3,3.46,레드와인
9.4,2.3,3.39,레드와인
9.5,2.3,3.46,레드와인
9.4,2.3,3.39,레드와인
10.1,6,3.37,레드와인
10.1,3.6,3.4,레드와인
11,2.2,3.32,레드와인
11.2,2.8,3.33,레드와인
11.3,8.6,3.16,레드와인
9.6,2.2,2.89,레드와인
11.2,2.5,3.41,레드와인
14.9,7.5,2.98,레드와인
12,2.8,3.12,레드와인
9.5,2.4,3.08,레드와인
9.4,2.9,3.14,레드와인
9.6,2.2,2.89,레드와인
10.5,1.4,2.92,레드와인
9.6,1.4,3.32,레드와인
11,4.4,3.41,레드와인
9.6,1.4,3.32,레드와인
9,1.6,3.31,레드와인
9.6,1.6,3.36,레드와인
10.2,1.8,3.04,레드와인
10.2,2,3.03,레드와인
9.7,2,3.14,레드와인
9.5,1.8,3.18,레드와인
9.2,2,2.94,레드와인
11,2.3,3.15,레드와인
9.2,2,2.94,레드와인
10,2.5,3.26,레드와인
9.5,1.7,3.2,레드와인
9.5,2,3.15,레드와인
9.5,1.7,3.2,레드와인
9.3,2.2,3.08,레드와인
10.2,2.2,3.26,레드와인
9.3,2.2,3.08,레드와인
9.9,2.3,3.4,레드와인
10,2.6,3.48,레드와인
9.6,3.3,3.13,레드와인
9,1.9,3.06,레드와인
10.2,2.2,3.21,레드와인
9.8,2.25,3.33,레드와인
11.3,2.6,3.37,레드와인
9.4,2.3,3.25,레드와인
11.3,2.6,3.37,레드와인
9.1,1.8,3.44,레드와인
9.7,3.1,3.28,레드와인
9.4,1.6,3.4,레드와인
9.4,1.8,3.3,레드와인
10.7,4.25,3.63,레드와인
9.8,2.6,3.48,레드와인
9,2,3.03,레드와인
9.4,2.8,3.32,레드와인
9.4,2.7,3.31,레드와인
12.8,1.3,3.9,레드와인
9.5,2.1,3.47,레드와인
9.5,2.1,3.47,레드와인
9.7,3.2,3.31,레드와인
10.8,2.1,3.11,레드와인
10.1,2.9,3.08,레드와인
9.5,2.1,3.47,레드와인
9.4,2.1,3.47,레드와인
9.6,2.6,3.32,레드와인
9.7,1.6,3.29,레드와인
9.9,6,3.37,레드와인
10,2,3.4,레드와인
10.5,3,3.37,레드와인
11.6,2.5,3.34,레드와인
10,1.6,3.27,레드와인
10.1,2.8,3.06,레드와인
9.5,3,3.38,레드와인
9.4,3.2,3.36,레드와인
9.4,2.3,3.34,레드와인
9.8,2.6,3.28,레드와인
9.2,2.7,3.29,레드와인
9.4,2.3,3.34,레드와인
10,2.6,3.21,레드와인
9.6,2,3.22,레드와인
9.5,3.9,3.46,레드와인
9.6,2,3.22,레드와인
9.2,2.85,3.1,레드와인
10,2.7,3.21,레드와인
9.5,2.2,2.94,레드와인
11.2,3.1,3.54,레드와인
10.4,3,3.29,레드와인
11.1,2.8,3.43,레드와인
9.5,1.8,3.46,레드와인
9.5,1.8,3.46,레드와인
12.7,3.2,3.61,레드와인
9.6,2.3,3.17,레드와인
11.5,3.45,3.44,레드와인
9.6,2.1,3.39,레드와인
9.5,2.7,3.55,레드와인
9.3,2,3.48,레드와인
9.5,2.1,3.26,레드와인
9.5,2.1,3.26,레드와인
9.3,2.5,3.5,레드와인
9.2,2.8,3.1,레드와인
9.3,2.4,3.35,레드와인
11.5,4.2,3.45,레드와인
9.5,2.6,3.21,레드와인
9.2,1.9,3.46,레드와인
10,2.8,3.13,레드와인
9.5,2.7,3.13,레드와인
9.5,2.1,3.52,레드와인
9,2.5,3.3,레드와인
9.4,2.6,3.3,레드와인
9.6,2.1,3.52,레드와인
9.5,2.1,3.52,레드와인
9.5,2.9,3.29,레드와인
9.5,2.9,3.29,레드와인
9.4,2.5,3.39,레드와인
9.5,2.9,3.29,레드와인
9.1,1.7,3.09,레드와인
10.7,1.9,3.51,레드와인
11.2,2,3.6,레드와인
9.8,2.2,3.25,레드와인
9.8,2.2,3.25,레드와인
9.2,2.5,3.19,레드와인
9.7,2.8,3.23,레드와인
9.6,2,3.25,레드와인
10,1.7,3.31,레드와인
9.6,2,3.25,레드와인
9.5,2.8,3.31,레드와인
9.5,3,3.31,레드와인
9.4,2.9,3.14,레드와인
9.5,2.7,3.45,레드와인
9.7,2.3,3.55,레드와인
9.6,1.9,3.39,레드와인
9.7,2.3,3.55,레드와인
9.4,2.4,3.28,레드와인
9.4,2.3,3.27,레드와인
9.5,1.8,3.3,레드와인
9.5,1.8,3.31,레드와인
10,3,3.43,레드와인
10.3,2.4,3.4,레드와인
10.3,2.4,3.4,레드와인
10.5,3.4,3.36,레드와인
9.8,2.6,3.5,레드와인
9.4,2,3.31,레드와인
9.8,2.4,3.66,레드와인
10,2.4,3.36,레드와인
9.8,2.4,3.66,레드와인
9.8,2.5,3.55,레드와인
9.5,2.3,3.21,레드와인
9.5,2.3,3.21,레드와인
10.1,2.2,3.18,레드와인
10.1,2.2,3.18,레드와인
9.3,2.9,3.09,레드와인
9.7,2.6,3.33,레드와인
9.6,2.9,3.23,레드와인
9.7,2.5,3.48,레드와인
10.8,2.6,3.38,레드와인
12.5,2.3,3.17,레드와인
10.2,2.6,2.99,레드와인
9.6,2.5,3.1,레드와인
10.8,1.6,3.24,레드와인
10.7,3.6,3.29,레드와인
10.7,3.6,3.29,레드와인
9.4,4,3.25,레드와인
10,3.3,3.23,레드와인
12.9,1.7,3.56,레드와인
9.6,2.5,3.24,레드와인
9.9,2.7,3.26,레드와인
12.8,2.4,3.33,레드와인
12.5,2,3.27,레드와인
12.8,2.4,3.33,레드와인
9.2,1.9,3.26,레드와인
10.3,2.8,3.22,레드와인
10.5,2.6,3.3,레드와인
10.9,2.8,3.09,레드와인
10.8,2.5,3.24,레드와인
11.4,2.1,3.44,레드와인
11.3,2.8,3.21,레드와인
10.8,2.5,3.24,레드와인
10.5,3.2,3.23,레드와인
11.9,1.6,3.28,레드와인
9.4,2.35,3.29,레드와인
9.6,3.2,3.28,레드와인
9.7,1.9,3.34,레드와인
14,2.1,3.71,레드와인
9.8,2,3.61,레드와인
9.8,2,3.61,레드와인
10.3,2.8,3.24,레드와인
10.7,2.8,3.36,레드와인
11,2.3,3.4,레드와인
10.7,2.8,3.36,레드와인
12.7,2.3,3.46,레드와인
11.1,2.1,3.56,레드와인
10.9,2.5,3.38,레드와인
11.1,2.1,3.56,레드와인
9.9,1.5,3.38,레드와인
9.9,1.6,3.38,레드와인
9.4,1.6,3.32,레드와인
9.3,1.5,3.39,레드와인
11.7,2.4,3.26,레드와인
11.7,2.4,3.26,레드와인
11.2,1.6,3.24,레드와인
10,2.2,3.46,레드와인
12.1,2.65,3.24,레드와인
10.3,3,3.45,레드와인
10.9,2.6,3.23,레드와인
9.4,2,3.28,레드와인
10.6,1.7,3.18,레드와인
9.8,1.8,3.59,레드와인
9.8,1.8,3.59,레드와인
